animal	a creature that is not a bird, a fish, a reptile, an insect or a human<br><br>- the animals and birds of South America<br>- wild/farm animals<br>- domestic animals such as dogs and cats<br>- the export of live animals for slaughter<br>- Fish oils are less saturated than animal fats.
another	one more; an extra thing or person<br><br>- Would you like another drink?<br>- ‘Finished?’ ‘No, I've got another three questions to do.’<br>- We've still got another (= a further) forty miles to go.<br>- ‘It's a bill.’ ‘Oh no, not another!’<br>- I got another of those calls yesterday.
another	one more; an extra thing or person<br><br>- Would you like another drink?<br>- ‘Finished?’ ‘No, I've got another three questions to do.’<br>- We've still got another (= a further) forty miles to go.<br>- ‘It's a bill.’ ‘Oh no, not another!’<br>- I got another of those calls yesterday.
answer	something that you say, write or do to react to a question or situation<br><br>- I rang the bell, but there was no answer.<br>- Can't you give me a definitive answer?<br>- The short answer is no.<br>- The simple answer is that we don't know.<br>- a question and answer session
answer	to say, write or do something as a reaction to a question or situation<br><br>- I repeated the question, but she didn't answer.<br>- Please answer honestly.<br>- She answered in the affirmative (= said yes).<br>- You haven't answered my question.<br>- All you have to do is correctly answer the following questions about geography. 
any	used with uncountable or plural nouns in negative sentences and questions, after if or whether, and after some verbs such as prevent, ban, forbid, etc. to refer to an amount or a number of something, however large or small<br><br>- I didn't eat any meat.<br>- Are there any stamps?<br>- I've got hardly any money.<br>- You can't go out without any shoes.<br>- He forbids any talking in class.
any	used in negative sentences and in questions and after if or whether to refer to an amount or a number, however large or small<br><br>- We need some more paint; there isn't any left.<br>- I need some stamps. Are there any in your bag?<br>- Please let me know how many people are coming, if any.<br>- She spent hardly any of the money.<br>- He returned home without any of the others.
anyone	used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.<br><br>- Is anyone there?<br>- Does anyone else want to come?<br>- Did anyone see you?<br>- Hardly anyone came.<br>- I forbid anyone to touch that clock.
anything	used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc.<br><br>- Would you like anything else?<br>- There's never anything worth watching on TV.<br>- If you remember anything at all, please let us know.<br>- We hope to prevent anything unpleasant from happening.<br>- I'm so hungry, I'll eat anything.
apartment	a set of rooms for living in, usually on one floor of a building<br><br>- an apartment building<br>- I was renting a two-bedroom apartment in an old building.<br>- A group of developers wants to build a high-rise apartment complex.<br>- I lived on the ground floor of an apartment block. <br>- They left their fourth-floor apartment on Mott Street and walked to the bus.
april	the fourth month of the year, between March and May<br><br>- She was born in April.<br>- The meeting is on the fifth of April/April the fifth.<br>- The meeting is on April fifth.<br>- We went to Japan last April.<br>- I arrived at the end of April.
area	part of a place, town, etc., or a region of a country or the world<br><br>- to improve access to services in rural areas<br>- urban/metropolitan/residential areas<br>- The farm and surrounding area were flooded.<br>- She knows the local area very well.<br>- the area around San Francisco
arm	either of the two long parts that stick out from the top of the body and connect the shoulders to the hands<br><br>- He escaped with only a broken arm.<br>- Pearl wrapped her arms around her son and hugged him tightly.<br>- She threw her arms around his neck.<br>- He was running forward, waving his arms.<br>- The officer grabbed him by the arm (= grabbed his arm).
around	approximately<br><br>- He arrived around five o'clock.<br>- The cost would be somewhere around £1 500.<br>- There were only around 125 people present.<br>- The correct figure is actually around double that amount.<br>- I could hear laughter all around.
around	surrounding somebody/something; on each side of something<br><br>- The house is built around a central courtyard.<br>- He put his arms around her.<br>- Our house is just around the corner.<br>- The bus came around the bend.<br>- There must be a way around the problem.
arrive	to get to a place, especially at the end of a journey<br><br>- I'll wait until they arrive.<br>- I was pleased to hear you arrived home safely.<br>- to arrive early/late for a meeting<br>- She'll arrive in New York at noon.<br>- The train arrived at the station 20 minutes late.
